file_name,entity_text,entity_type,start_char,end_char,regulation
tenant-a_log_00.json,alice.chen,PERSON,285,295,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,1574,1584,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,2861,2870,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,4146,4156,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,5435,5446,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,6727,6736,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,8015,8025,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,9303,9312,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,10590,10599,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,11873,11883,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,13159,13169,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,14448,14458,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,15732,15742,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,17025,17034,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,18313,18323,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,19597,19608,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,20887,20898,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,22179,22188,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,23461,23471,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,24745,24756,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,26031,26041,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,27319,27328,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,28604,28613,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,29887,29896,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,31172,31183,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,32469,32479,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,33753,33763,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,35041,35050,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,36330,36340,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,37618,37627,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,38910,38921,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,40195,40205,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,41482,41493,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,42770,42779,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,44054,44063,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,45338,45349,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,46624,46634,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,alice.chen,PERSON,47909,47919,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,carol.smith,PERSON,49192,49203,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,bob.kumar,PERSON,50475,50484,"GDPR_Art5_1a, DPDPA_S8"
tenant-a_log_00.json,176.174.50.12,IP_ADDRESS,683,696,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,5.189.67.176,IP_ADDRESS,1972,1984,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,202.95.132.206,IP_ADDRESS,3258,3272,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,184.62.131.247,IP_ADDRESS,4544,4558,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,215.143.103.9,IP_ADDRESS,5834,5847,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,123.202.95.221,IP_ADDRESS,7124,7138,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,166.130.75.199,IP_ADDRESS,8413,8427,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,203.125.70.251,IP_ADDRESS,9700,9714,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,140.44.209.23,IP_ADDRESS,10987,11000,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,3.58.25.222,IP_ADDRESS,12271,12282,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,206.14.182.24,IP_ADDRESS,13557,13570,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,139.233.42.193,IP_ADDRESS,14846,14860,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,118.205.170.173,IP_ADDRESS,16130,16145,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,116.110.88.186,IP_ADDRESS,17422,17436,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,111.4.239.68,IP_ADDRESS,18711,18723,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,30.255.20.177,IP_ADDRESS,19996,20009,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,113.10.168.78,IP_ADDRESS,21286,21299,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,21.226.88.197,IP_ADDRESS,22576,22589,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,113.135.13.200,IP_ADDRESS,23859,23873,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,167.41.102.211,IP_ADDRESS,25144,25158,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,112.78.233.117,IP_ADDRESS,26429,26443,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,118.192.232.81,IP_ADDRESS,27716,27730,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,44.123.238.233,IP_ADDRESS,29001,29015,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,108.137.157.77,IP_ADDRESS,30284,30298,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,188.240.216.105,IP_ADDRESS,31571,31586,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,62.223.90.159,IP_ADDRESS,32867,32880,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,203.222.89.95,IP_ADDRESS,34151,34164,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,16.188.10.86,IP_ADDRESS,35438,35450,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,34.126.202.117,IP_ADDRESS,36728,36742,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,150.99.253.236,IP_ADDRESS,38015,38029,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,24.74.227.109,IP_ADDRESS,39306,39319,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,80.29.89.10,IP_ADDRESS,40590,40601,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,191.210.15.250,IP_ADDRESS,41878,41892,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,138.79.10.46,IP_ADDRESS,43164,43176,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,98.10.41.17,IP_ADDRESS,44448,44459,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,38.220.76.152,IP_ADDRESS,45734,45747,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,199.106.131.150,IP_ADDRESS,47019,47034,"GDPR_Art5_1b, DPDPA_S8"
tenant-a_log_00.json,194.169.212.201,IP_ADDRESS,48304,48319,"GDPR_Art5_1b, DPDPA_S8"
